NameOfArt,PicturePath,TrueArt,False1Art,False2Art
Золотая осень,images\Золотая осень.jpg,ОСТРОУХОВ Илья,КЛЕВЕР Юлий,КОЛЕСНИКОВ Степан
Зимний закат в еловом лесу,images\Зимний закат в еловом лесу.jpg,КЛЕВЕР Юлий,БРЮЛЛОВ Карл,МАКСИМОВ Василий
Последний день Помпеи,images\Последний день Помпеи.jpg,БРЮЛЛОВ Карл,ХРУЦКИЙ Иван,ГЛАЗУНОВ Иван
Выбор невесты царём Алексеем Миха…,images\Выбор невесты царём Алексеем Миха….jpg,СЕДОВ Григорий,МАКОВСКИЙ Владимир,ЗАРУБИН Виктор
Лунная ночь на Днепре,images\Лунная ночь на Днепре.jpg,КУИНДЖИ Архип,ЯКОВЛЕВ Василий,МОРОЗОВ Александр
Семья художника,images\Семья художника.jpg,ГЛАЗУНОВ Иван,ЛЕВИТАН Исаак,СОКОЛОВ Иван
Купчиха за чаем,images\Купчиха за чаем.jpg,КУСТОДИЕВ Борис,ПЕРОВ Василий,ГРИГОРЬЕВ Борис
Лилии. Ненюфары,images\Лилии. Ненюфары.jpg,ЛЕВИТАН Исаак,БРЮЛЛОВ Карл,КОРЗУХИН Алексей
Зима,images\Зима.jpg,КОРОВИН Константин,САВРАСОВ Алексей,ИВАНОВ Александр
Озеро. Русь,images\Озеро. Русь.jpg,ЛЕВИТАН Исаак,ВЕНЕЦИАНОВ Алексей,КРЫЖИЦКИЙ Константин
Белая Россия. Исход,images\Белая Россия. Исход.jpg,БЕЛЮКИН Дмитрий,ТРОПИНИН Василий,ШИЛЬДЕР Андрей
Ученицы,images\Ученицы.jpg,БОГДАНОВ-БЕЛЬСКИЙ Николай,СЕРГЕЕВ Николай,ШИШКИН Иван
Летний пейзаж,images\Летний пейзаж.jpg,СЕРГЕЕВ Николай,БОГДАНОВ-БЕЛЬСКИЙ Николай,САВРАСОВ Алексей
Алёша Попович и Елена Краса,images\Алёша Попович и Елена Краса.jpg,ОЛЬШАНСКИЙ Борис,КУИНДЖИ Архип,ШИЛЬДЕР Андрей
Явление Христа народу,images\Явление Христа народу.jpg,ИВАНОВ Александр,КРЫЖИЦКИЙ Константин,НЕСТЕРОВ Михаил
Украинская ночь. Зима,images\Украинская ночь. Зима.jpg,ВЕЛЬЦ Иван,НИКИТИН Иван,САВИЦКИЙ Константин
Фортуна и нищий,images\Фортуна и нищий.jpg,МАРКОВ Алексей,ВАСНЕЦОВ Виктор,КРЫЖИЦКИЙ Константин
Всё в прошлом,images\Всё в прошлом.jpg,МАКСИМОВ Василий,РЕПИН Илья,РЕПИН Илья
Радуга,images\Радуга.jpg,КУИНДЖИ Архип,ЛЕВИТАН Исаак,ПРЯНИШНИКОВ Илларион
Берёзовая роща,images\Берёзовая роща.jpg,ЛЕВИТАН Исаак,ФЕЛИЦЫН Ростислав,АЛЕКСЕЕВ Фёдор
Новая сказка,images\Новая сказка.jpg,БОГДАНОВ-БЕЛЬСКИЙ Николай,ЕНДОГУРОВ Иван,ГОРЮШКИН-СОРОКОПУДОВ Иван
В праздник,images\В праздник.jpg,КУЗНЕЦОВ Николай,КЛЕВЕР Юлий,ГОРЮШКИН-СОРОКОПУДОВ Иван
Сватовство майора,images\Сватовство майора.jpg,ФЕДОТОВ Павел,ШТЕРНБЕРГ Василий,РЕПИН Илья
Бахчисарайский фонтан,images\Бахчисарайский фонтан.jpg,БРЮЛЛОВ Карл,КОРОВИН Сергей,ВАСНЕЦОВ Аполлинарий
Боярышня у окна,images\Боярышня у окна.jpg,МАКОВСКИЙ Константин,ВРУБЕЛЬ Михаил,ЛЕВИЦКИЙ Дмитрий
Святой благоверный великий Москов…,images\Святой благоверный великий Москов….jpg,МАТОРИН Виктор,БРЮЛЛОВ Карл,РЯБУШКИН Андрей
Петр I на смертном ложе,images\Петр I на смертном ложе.jpg,НИКИТИН Иван,КОЛЕСНИКОВ Степан,СЕМИРАДСКИЙ Генрих
За расчётом,images\За расчётом.jpg,БОГДАНОВ Иван,МАКСИМОВ Василий,ВАСНЕЦОВ Аполлинарий
Деревня,images\Деревня.jpg,ВАСИЛЬЕВ Фёдор,ВАСНЕЦОВ Аполлинарий,ДУБОВСКОЙ Николай
Портрет детей художника,images\Портрет детей художника.jpg,МАКОВСКИЙ Константин,ПОЛЕНОВ Василий,РУБО Франц
«Разделение косы»,images\«Разделение косы».jpg,РЕМНЁВ Андрей,НИКИТИН Иван,СТЕПАНОВ Алексей
Зима. 1916,images\Зима. 1916.jpg,КУСТОДИЕВ Борис,КАРНЕЕВ Аким,АНОХИН Николай
Молодой садовник. 1817,images\Молодой садовник. 1817.jpg,КИПРЕНСКИЙ Орест,Врубель Михаил,СУДКОВСКИЙ Руфин
Прощание,images\Прощание.jpg,АЙВАЗОВСКИЙ Иван,НЕВРЕВ Николай,МАКАРОВ Иван
Портрет императрицы Александ…,images\Портрет императрицы Александ….jpg,МАКОВСКИЙ Александр,ЛИПГАРТ Эрнест,АЙВАЗОВСКИЙ Иван
Московский дворик,images\Московский дворик.jpg,ПОЛЕНОВ Василий,РЕМНЁВ Андрей,ВЕНЕЦИАНОВ Алексей
Рожь,images\Рожь.jpg,САВРАСОВ Алексей,АРГУНОВ Иван,БРЮЛЛОВ Карл
Купание,images\Купание.jpg,КУСТОДИЕВ Борис,ИВАНОВ Антон,КЛЕВЕР Юлий
Бабушкин сад,images\Бабушкин сад.jpg,ПОЛЕНОВ Василий,КЛЕВЕР Юлий,КОРЗУХИН Алексей
Берёзовая роща,images\Берёзовая роща.jpg,КУИНДЖИ Архип,КЛЕВЕР Юлий,МЯСОЕДОВ Григорий
Русская красавица,images\Русская красавица.jpg,МАКОВСКИЙ Константин,ВАСИЛЬЕВ Фёдор,АЙВАЗОВСКИЙ Иван
«Продавец лимонада »,images\«Продавец лимонада ».jpg,РЕМНЁВ Андрей,КУИНДЖИ Архип,ДУБОВСКОЙ Николай
Подруги,images\Подруги.jpg,ХАРЛАМОВ Алексей,СТЕПАНОВ Алексей,КРЫЖИЦКИЙ Константин
Тарас Бульба,images\Тарас Бульба.jpg,БУБНОВ Александр,МАКОВСКИЙ Владимир,НЕСТЕРОВ Михаил
Оттепель,images\Оттепель.jpg,КЛЕВЕР Юлий,БРЮЛЛОВ Павел,СУДКОВСКИЙ Руфин
Пахарь ,images\Пахарь .jpg,РЕПИН Илья,ПЕРОВ Василий,ПЛАСТОВ Аркадий
Павлов в операционном зале,images\Павлов в операционном зале.jpg,РЕПИН Илья,ВЕЛЬЦ Иван,СТЕПАНОВ Алексей
Журавли летят,images\Журавли летят.jpg,СТЕПАНОВ Алексей,МАКОВСКИЙ Константин,АНОХИН Николай
Первый снег,images\Первый снег.jpg,ШИШКИН Иван,ОСТРОУХОВ Илья,ГЛАЗУНОВ Иван
В голубом просторе,images\В голубом просторе.jpg,РЫЛОВ Аркадий,НИКИТИН Иван,РЕМНЁВ Андрей
Кто там,images\Кто там.jpg,МАКСИМОВ Василий,КУСТОДИЕВ Борис,ЛЕВИЦКИЙ Дмитрий
Пастушки,images\Пастушки.jpg,МАКОВСКИЙ Владимир,ДУБОВСКОЙ Николай,ТРУТОВСКИЙ Константин
Вечерний звон,images\Вечерний звон.jpg,ЛЕВИТАН Исаак,МЯСОЕДОВ Григорий,АЙВАЗОВСКИЙ Иван
Девушки на берегу,images\Девушки на берегу.jpg,НЕСТЕРОВ Михаил,НИКИТИН Иван,ФИЛИППОВ Константин
Взятие снежного городка,images\Взятие снежного городка.jpg,СУРИКОВ Василий,СЕМИРАДСКИЙ Генрих,ШИЛЬДЕР Андрей
Утро стрелецкой казни,images\Утро стрелецкой казни.jpg,СУРИКОВ Василий,ДУБОВСКОЙ Николай,ИВАНОВ Сергей
Рожь,images\Рожь.jpg,ШИШКИН Иван,СЕМИРАДСКИЙ Генрих,НЕСТЕРОВ Михаил
Колядки в Малороссии,images\Колядки в Малороссии.jpg,ТРУТОВСКИЙ Константин,ФЕДОТОВ Павел,СОКОЛОВ Петр
Февральская лазурь,images\Февральская лазурь.jpg,ГРАБАРЬ Игорь,КУСТОДИЕВ Борис,ГАЛКИН Илья
Женщина в окне . 1841,images\Женщина в окне . 1841.jpg,ТРОПИНИН Василий,ПАВЛОВА Оксана,КЛОДТ Михаил
Портрет Марии Михайловны Во…,images\Портрет Марии Михайловны Во….jpg,МАКОВСКИЙ Константин,АРГУНОВ Николай,КУСТОДИЕВ Борис
Надоела,images\Надоела.jpg,МАКОВСКИЙ Александр,КОНДРАТЕНКО Гавриил,ЯКОБИ Валерий
Завтрак аристократа,images\Завтрак аристократа.jpg,ФЕДОТОВ Павел,БЛИНКОВ Александр,АЛЕКСЕЕВ Фёдор
Кружевница,images\Кружевница.jpg,ТРОПИНИН Василий,ИВАНОВ Сергей,КЛОДТ Михаил
Голубой домик,images\Голубой домик.jpg,КУСТОДИЕВ Борис,ВИЛЛЕВАЛЬДЕ Богдан,КОРЗУХИН Алексей
Среди волн,images\Среди волн.jpg,АЙВАЗОВСКИЙ Иван,ШИЛЬДЕР Андрей,ЛАГОРИО Лев
Озеро горных духов,images\Озеро горных духов.jpg,ГУРКИН Григорий,КУСТОДИЕВ Борис,ШИШКИН Иван
Смотр Черноморского флота в 184…,images\Смотр Черноморского флота в 184….jpg,АЙВАЗОВСКИЙ Иван,МАЗУРОВСКИЙ Виктор,Сорока Григорий
«Завтра будет ветер»,images\«Завтра будет ветер».jpg,РЕМНЁВ Андрей,СОРОКА Григорий,СЕМИРАДСКИЙ Генрих
На Волге. 1922,images\На Волге. 1922.jpg,КУСТОДИЕВ Борис,ВАСНЕЦОВ Аполлинарий,ШИШКИН Иван
Троицын день,images\Троицын день.jpg,СУХОДОЛЬСКИЙ Пётр,ПОЛЕНОВ Василий,ВОЛКОВ Ефим
Старая мельница,images\Старая мельница.jpg,ПОЛЕНОВ Василий,ВЕРЕЩАГИН Василий,ЛАВРОВ Николай
Крещенское водосвятие,images\Крещенское водосвятие.jpg,КУСТОДИЕВ Борис,КИПРЕНСКИЙ Орест,ЛЕВИЦКИЙ Дмитрий
Светлана,images\Светлана.jpg,НОВОСКОЛЬЦЕВ Александр,КЛЕВЕР Юлий,МАКОВСКИЙ Константин
«Распни его»,images\«Распни его».jpg,ГЛАЗУНОВ Иван,ВЕНИГ Карл,РУБО Франц
Болото. Журавли.,images\Болото. Журавли..jpg,ШИШКИН Иван,ИВАНОВ Александр,СЕМИРАДСКИЙ Генрих
Ответа жду,images\Ответа жду.jpg,ИВАНОВ Михаил,РЕПИН Илья,АНОХИН Николай
Портрет Арсения Васильевича Тро…,images\Портрет Арсения Васильевича Тро….jpg,ТРОПИНИН Василий,ВАСИЛЬЕВ Фёдор,АРГУНОВ Иван
Возвращение из города,images\Возвращение из города.jpg,КОРЗУХИН Алексей,КРЫЖИЦКИЙ Константин,БОГДАНОВ-БЕЛЬСКИЙ Николай
Утро в деревне,images\Утро в деревне.jpg,КОШЕЛЕВ Николай,РЕПИН Илья,НЕСТЕРОВ Михаил
Октябрь,images\Октябрь.jpg,ВОЛКОВ Ефим,БЕГГРОВ Александр,ОРЛОВСКИЙ Владимир
Ранняя весна,images\Ранняя весна.jpg,КРЫЖИЦКИЙ Константин,ВИНОГРАДОВ Сергей,АЙВАЗОВСКИЙ Иван
"Казнь Пугачёва. «Прости, народ пр…","images\Казнь Пугачёва. «Прости, народ пр….jpg",МАТОРИН Виктор,ПИМОНЕНКО Николай,БОРОВИКОВСКИЙ Владимир
Волшебство,images\Волшебство.jpg,ОЛЬШАНСКИЙ Борис,ЛЕБЕДЕВ Клавдий,ЛАГОРИО Лев
Борис Карпов,images\Борис Карпов.jpg,Портреты Сталина,СЕРОВ Валентин,Левицкий Дмитрий
В старом доме Ракитиных,images\В старом доме Ракитиных.jpg,АНОХИН Николай,КОРЗУХИН Алексей,АЙВАЗОВСКИЙ Иван
Дубовая роща,images\Дубовая роща.jpg,ШИШКИН Иван,ОЛЬШАНСКИЙ Борис,БРЮЛЛОВ Карл
Хвойный лес. Солнечный день,images\Хвойный лес. Солнечный день.jpg,ШИШКИН Иван,ПАВЛОВА Оксана,КИПРЕНСКИЙ Орест
На террасе,images\На террасе.jpg,КУСТОДИЕВ Борис,САВРАСОВ Алексей,НЕСТЕРОВ Михаил
Озеро в горах,images\Озеро в горах.jpg,КРЫЖИЦКИЙ Константин,ВАСИЛЬКОВСКИЙ Сергей,РУБО Франц
Портрет императрицы Марии Фёдоровн…,images\Портрет императрицы Марии Фёдоровн….jpg,КРАМСКОЙ Иван,СЫЧКОВ Федот,ТРОПИНИН Василий
Март,images\Март.jpg,ЛЕВИТАН Исаак,КАМЕНЕВ Лев,АЙВАЗОВСКИЙ Иван
Обоз в степи,images\Обоз в степи.jpg,АЙВАЗОВСКИЙ Иван,КОНДРАТЕНКО Гавриил,БЕРГГОЛЬЦ Ричард
Тихая обитель,images\Тихая обитель.jpg,ЛЕВИТАН Исаак,МАКОВСКИЙ Константин,ВЕРЕЩАГИН Пётр
Чесменский бой 25-26 июня 1770 …,images\Чесменский бой 25-26 июня 1770 ….jpg,АЙВАЗОВСКИЙ Иван,ПИМОНЕНКО Николай,ГОЛОВИН Александр
Запорожцы.,images\Запорожцы..jpg,РЕПИН Илья,ШИШКИН Иван,ГРУЗИНСКИЙ Пётр
Озеро,images\Озеро.jpg,КРЫЖИЦКИЙ Константин,ЛАГОРИО Лев,ЗАНКОВСКИЙ Илья
У околицы,images\У околицы.jpg,МАКОВСКИЙ Константин,СТЕПАНОВ Алексей,КАМЕНЕВ Лев
Портрет А. С. Пушкина ,images\Портрет А. С. Пушкина .jpg,Тропинин Василий,ТРУТОВСКИЙ Константин,ЛАГОРИО Лев
Начало весны,images\Начало весны.jpg,ЕНДОГУРОВ Иван,ПОПОВ Павел,МАТВЕЕВ Фёдор
Поединок Пересвета с Челубеем на К…,images\Поединок Пересвета с Челубеем на К….jpg,АВИЛОВ Михаил,СУХОДОЛЬСКИЙ Пётр,КОЦЕБУ Александр
Зимний пейзаж с церковью. 19…,images\Зимний пейзаж с церковью. 19….jpg,ГОРБАТОВ Константин,БОРОВИКОВСКИЙ Владимир,НЕСТЕРОВ Михаил
Дождь в дубовом лесу,images\Дождь в дубовом лесу.jpg,ШИШКИН Иван,ГОРБАТОВ Константин,Портреты Сталина
Опасный урок,images\Опасный урок.jpg,СЕМИРАДСКИЙ Генрих,ЖУКОВСКИЙ Станислав,ШАНЬКОВ Михаил
Пейзаж с церковью,images\Пейзаж с церковью.jpg,МАКОВСКИЙ Александр,ПУРВИТ Вильгельм,АЙВАЗОВСКИЙ Иван
Страдная пора ,images\Страдная пора .jpg,МЯСОЕДОВ Григорий,МАКОВСКИЙ Владимир,ОРЛОВСКИЙ Владимир
Портрет девочки,images\Портрет девочки.jpg,МАКАРОВ Иван,МАТОРИН Виктор,ШИШКИН Иван
Украинский пейзаж,images\Украинский пейзаж.jpg,ВАСИЛЬКОВСКИЙ Сергей,ПАВЛОВА Оксана,ГОРБАТОВ Константин
Ночь на Ивана-Купалу,images\Ночь на Ивана-Купалу.jpg,СОКОЛОВ Иван,ШИШКИН Иван,КИВШЕНКО Алексей
Дама в голубом ГТГ,images\Дама в голубом ГТГ.jpg,Сомов Константин,БОГДАНОВ-БЕЛЬСКИЙ Николай,КУСТОДИЕВ Борис
Фавн Марсий учит молодого Олимпия игр…,images\Фавн Марсий учит молодого Олимпия игр….jpg,БАСИН Пётр,КУИНДЖИ Архип,МЕЩЕРСКИЙ Арсений
Дорога,images\Дорога.jpg,КРЫЖИЦКИЙ Константин,ВЕРЕЩАГИН Пётр,РЕПИН Илья
Портрет Мусоргского,images\Портрет Мусоргского.jpg,РЕПИН Илья,ЛЕВИЦКИЙ Дмитрий,БРЮЛЛОВ Павел
Первенец. 1888,images\Первенец. 1888.jpg,ПЕЛЕВИН Иван,ИВАНОВ Александр,ВЕРЕЩАГИН Василий
"Дуб, разбитый молнией","images\Дуб, разбитый молнией.jpg",ВОРОБЬЕВ Максим,КЛЕВЕР Юлий,ГЛАЗУНОВ Иван
«У небесного причала»,images\«У небесного причала».jpg,ОЛЬШАНСКИЙ Борис,ТРУТОВСКИЙ Константин,НЕСТЕРОВ Михаил
18 октября 1905 года,images\18 октября 1905 года.jpg,РЕПИН Илья,АЙВАЗОВСКИЙ Иван,АРГУНОВ Иван
М. И. Глинка в период сочинения оперы…,images\М. И. Глинка в период сочинения оперы….jpg,РЕПИН Илья,ПОЛЕНОВ Василий,ВАСНЕЦОВ Аполлинарий
Весёлая минутка,images\Весёлая минутка.jpg,РЖЕВСКАЯ Антонина,ОСТРОУХОВ Илья,ВОЛКОВ Ефим
После побоища Игоря Святославича…,images\После побоища Игоря Святославича….jpg,ВАСНЕЦОВ Виктор,СОКОЛОВ Иван,КАМЕНЕВ Лев
Ранний снег,images\Ранний снег.jpg,ПОЛЕНОВ Василий,КУИНДЖИ Архип,ПУКИРЕВ Василий
Мокрый луг,images\Мокрый луг.jpg,ВАСИЛЬЕВ Фёдор,МАТОРИН Виктор,АЙВАЗОВСКИЙ Иван
Жёлтые розы,images\Жёлтые розы.jpg,ВРУБЕЛЬ Михаил,КЛОДТ Михаил,КАЗАНЦЕВ Владимир
Радуга,images\Радуга.jpg,АЙВАЗОВСКИЙ Иван,КУСТОДИЕВ Борис,КОЦЕБУ Александр
Видение отроку Варфоломею,images\Видение отроку Варфоломею.jpg,НЕСТЕРОВ Михаил,СЕМИРАДСКИЙ Генрих,МАКСИМОВ Алексей
Изгнание поляков из Кремля,images\Изгнание поляков из Кремля.jpg,ЛИССНЕР Эрнст,САВРАСОВ Алексей,ПЕРОВ Василий
Пасечник,images\Пасечник.jpg,БОГАТОВ Николай,ГИНЕ Александр,РУБО Франц
Побеждённые. Панихида,images\Побеждённые. Панихида.jpg,ВЕРЕЩАГИН Василий,САВРАСОВ Алексей,ВЕНЕЦИАНОВ Алексей
Речка в полдень,images\Речка в полдень.jpg,ОСТРОУХОВ Илья,СЕМИРАДСКИЙ Генрих,МЕЩЕРСКИЙ Арсений
Воины Апокалипсиса,images\Воины Апокалипсиса.jpg,ВАСНЕЦОВ Виктор,ВОЛКОВ Ефим,ПАВЛОВА Оксана
В горах Кавказа,images\В горах Кавказа.jpg,ЛАГОРИО Лев,ПИМОНЕНКО Николай,ОЛЬШАНСКИЙ Борис
В церкви,images\В церкви.jpg,БОГДАНОВ-БЕЛЬСКИЙ Николай,СЕРГЕЕВ Николай,СОКОЛОВ Владимир
Чарка мёду,images\Чарка мёду.jpg,МАКОВСКИЙ Константин,ЧИСТЯКОВ Павел,АРХИПОВ Абрам
В отпуску,images\В отпуску.jpg,КУЗНЕЦОВ Николай,БОРОВИКОВСКИЙ Владимир,ВАСИЛЬКОВСКИЙ Сергей
Зимний пейзаж с избушкой. 1,images\Зимний пейзаж с избушкой. 1.jpg,КЛЕВЕР Юлий,ВАСИЛЬЕВ Фёдор,ОРЛОВСКИЙ Владимир
В сельской школе,images\В сельской школе.jpg,МАКОВСКИЙ Владимир,КУСТОДИЕВ Борис,РУБО Франц
Ночью в степи,images\Ночью в степи.jpg,СЕРГЕЕВ Николай,ЛЕБЕДЕВ Клавдий,СОРОКА Григорий
Ночное,images\Ночное.jpg,КУИНДЖИ Архип,ЛЕВИТАН Исаак,ВАСНЕЦОВ Аполлинарий
Хождение по водам,images\Хождение по водам.jpg,АЙВАЗОВСКИЙ Иван,КАМЕНЕВ Лев,ВАСНЕЦОВ Аполлинарий
Поцелуйный обряд,images\Поцелуйный обряд.jpg,МАКОВСКИЙ Константин,Кипренский Орест,ЛИТОВЧЕНКО Александр
Пейзаж с прудом,images\Пейзаж с прудом.jpg,ВОЛКОВ Ефим,БРЮЛЛОВ Карл,АРГУНОВ Иван
Деревня на острове Нарген,images\Деревня на острове Нарген.jpg,КЛЕВЕР Юлий,ВАСИЛЬЕВ Фёдор,БРЮЛЛОВ Карл
Апостол Павел объясняет догматы …,images\Апостол Павел объясняет догматы ….jpg,СУРИКОВ Василий,ВАСНЕЦОВ Аполлинарий,ГОРЮШКИН-СОРОКОПУДОВ Иван
Летний день,images\Летний день.jpg,ОРЛОВСКИЙ Владимир,ВЛАДИМИРОВ Иван,КРАМСКОЙ Иван
Океан,images\Океан.jpg,АЙВАЗОВСКИЙ Иван,КРЫЖИЦКИЙ Константин,КРЫЖИЦКИЙ Константин
Крестьянские дети,images\Крестьянские дети.jpg,МАКОВСКИЙ Владимир,МАКСИМОВ Василий,КУСТОДИЕВ Борис
Ручей в берёзовом лесу,images\Ручей в берёзовом лесу.jpg,ШИШКИН Иван,СЕМИРАДСКИЙ Генрих,АЙВАЗОВСКИЙ Иван
Опричники,images\Опричники.jpg,НЕВРЕВ Николай,АНОХИН Николай,АРХИПОВ Абрам
Заросший пруд,images\Заросший пруд.jpg,ПОЛЕНОВ Василий,ВАСНЕЦОВ Аполлинарий,ЛАГОРИО Лев
Воскресное чтение в се…,images\Воскресное чтение в се….jpg,БОГДАНОВ-БЕЛЬСКИЙ Николай,ВЕРЕЩАГИН Василий,ЛАДЮРНЕР Адольф
Портрет Петра I в рыцарских доспе…,images\Портрет Петра I в рыцарских доспе….jpg,НАТЬЕ Жан Марк,КУЛИКОВ Иван,ШАРЛЕМАНЬ Адольф
